ResponseId,MainBranch,AISelect,ConvertedCompYearly,WorkExp,YearsCode,Age,DevType,Country,OrgSize,EdLevel,RemoteWork,Employment,treat,log_salary
11058,I am a developer by profession,"Yes, I use AI tools daily",92812.0,11.0,20.0,35-44 years old,"Developer, front-end",Portugal,20 to 99 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,"Independent contractor, freelancer, or self-employed",1,11.438331220759258
11060,I am a developer by profession,"Yes, I use AI tools daily",30222.0,8.0,12.0,25-34 years old,"Developer, full-stack",India,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,10.316325414973706
11067,I am a developer by profession,"Yes, I use AI tools daily",56908.0,7.0,15.0,25-34 years old,"Developer, full-stack",Canada,Less than 20 employees,Other (please specify):,"Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,10.949191207771058
11069,I am a developer by profession,"Yes, I use AI tools daily",3487.0,2.0,7.0,18-24 years old,"Developer, full-stack",India,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,8.156797046675651
11072,I am a developer by profession,"Yes, I use AI tools daily",60000.0,40.0,40.0,55-64 years old,"Developer, full-stack",Ecuador,"Just me - I am a freelancer, sole proprietor, etc.","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,"Independent contractor, freelancer, or self-employed",1,11.002099841204238
11074,I am a developer by profession,"No, and I don't plan to",129334.0,18.0,20.0,35-44 years old,"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,100 to 499 employees,Some college/university study without earning a degree,"Your choice (very flexible, you can come in when you want or just as needed)",Employed,0,11.77015348456319
11078,I am a developer by profession,"Yes, I use AI tools daily",62400.0,4.0,12.0,25-34 years old,"Developer, full-stack",United States of America,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.041320554357519
11080,I am a developer by profession,"No, and I don't plan to",78616.0,5.0,7.0,35-44 years old,"Developer, full-stack",Sweden,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,11.272330520042264
11084,I am a developer by profession,"No, and I don't plan to",159000.0,32.0,35.0,55-64 years old,"Developer, full-stack",United States of America,"5,000 to 9,999 employees","Professional degree (JD, MD, Ph.D, Ed.D, etc.)",In-person,Employed,0,11.976659481202368
11087,I am a developer by profession,"Yes, I use AI tools daily",10000.0,18.0,30.0,35-44 years old,"Developer, full-stack",United States of America,"Just me - I am a freelancer, sole proprietor, etc.","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"Independent contractor, freelancer, or self-employed",1,9.210340371976184
11090,I am a developer by profession,"Yes, I use AI tools daily",5231.0,3.0,4.0,18-24 years old,"Developer, back-end",India,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,8.562357743370612
11092,I am a developer by profession,"Yes, I use AI tools daily",11504.0,2.0,4.0,18-24 years old,"Developer, full-stack",Ukraine,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,9.350450079960828
11093,I am a developer by profession,"Yes, I use AI tools daily",129334.0,11.0,15.0,35-44 years old,"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.77015348456319
11095,I am a developer by profession,"Yes, I use AI tools daily",116015.0,10.0,17.0,35-44 years old,"Developer, back-end",Portugal,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.661474772073467
11097,I am a developer by profession,"Yes, I use AI tools daily",138000.0,7.0,7.0,25-34 years old,"Developer, full-stack",United States of America,I don’t know,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.835008964139341
11103,I am a developer by profession,"Yes, I use AI tools daily",36000.0,8.0,13.0,25-34 years old,Cloud infrastructure engineer,Brazil,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,10.491274217438248
11105,I am a developer by profession,"Yes, I use AI tools daily",115000.0,21.0,21.0,35-44 years old,"Developer, front-end",United States of America,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.652687407345388
11106,I am a developer by profession,"Yes, I use AI tools daily",102106.0,10.0,16.0,25-34 years old,"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.533766768341877
11116,I am a developer by profession,"Yes, I use AI tools daily",185000.0,28.0,28.0,45-54 years old,"Developer, back-end",United States of America,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,12.128111104060462
11120,I am a developer by profession,"Yes, I use AI tools daily",185989.0,10.0,14.0,35-44 years old,"Developer, back-end",Switzerland,"5,000 to 9,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,12.133442811161567
11121,I am a developer by profession,"Yes, I use AI tools daily",11400.0,4.0,5.0,35-44 years old,"Developer, front-end",Ukraine,100 to 499 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,9.341368634382587
11127,I am a developer by profession,"Yes, I use AI tools daily",12344.0,7.0,7.0,25-34 years old,"Developer, front-end","Iran, Islamic Republic of...",20 to 99 employees,Some college/university study without earning a degree,"Hybrid (some remote, leans heavy to in-person)",Employed,1,9.420925394042996
11128,I am a developer by profession,"No, and I don't plan to",51572.0,5.0,8.0,25-34 years old,"Developer, game or graphics",Sweden,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,10.850734168530728
11129,I am a developer by profession,"Yes, I use AI tools daily",83531.0,8.0,9.0,35-44 years old,Data or business analyst,Germany,"1,000 to 4,999 employees","Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.332973099424969
11130,I am a developer by profession,"Yes, I use AI tools daily",120000.0,9.0,24.0,25-34 years old,"Developer, full-stack",United States of America,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.695247021764184
11131,I am a developer by profession,"Yes, I use AI tools daily",35926.0,8.0,15.0,25-34 years old,"Developer, full-stack",Japan,Less than 20 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,Employed,1,10.48921654632878
11135,I am a developer by profession,"Yes, I use AI tools daily",180000.0,11.0,15.0,35-44 years old,"Developer, full-stack",United States of America,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,12.100712129872347
11136,I am a developer by profession,"Yes, I use AI tools daily",26508.0,10.0,25.0,35-44 years old,"Architect, software or solutions",Chile,100 to 499 employees,Some college/university study without earning a degree,Remote,Employed,1,10.185201853208117
11137,I am a developer by profession,"Yes, I use AI tools daily",46406.0,3.0,10.0,25-34 years old,Academic researcher,France,100 to 499 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,10.745184040199312
11138,I am a developer by profession,"No, and I don't plan to",15619.0,3.0,10.0,25-34 years old,"Developer, full-stack",Brazil,20 to 99 employees,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,9.656243400857722
11139,I am a developer by profession,"Yes, I use AI tools daily",69174.0,15.0,20.0,35-44 years old,"Developer, mobile",Brazil,500 to 999 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.14438034846101
11143,I am a developer by profession,"Yes, I use AI tools daily",53367.0,6.0,11.0,25-34 years old,"Developer, full-stack",Germany,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,10.88494785639338
11144,I am a developer by profession,"Yes, I use AI tools daily",75410.0,6.0,8.0,35-44 years old,"Developer, back-end",Netherlands,Less than 20 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,11.230695171196693
11145,I am a developer by profession,"No, and I don't plan to",34700.0,20.0,30.0,35-44 years old,"Developer, full-stack",Hungary,100 to 499 employees,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,10.45449496593495
11147,I am a developer by profession,"Yes, I use AI tools daily",106463.0,9.0,12.0,35-44 years old,"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,"1,000 to 4,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.575552785927682
11149,I am a developer by profession,"Yes, I use AI tools daily",129334.0,25.0,27.0,45-54 years old,"Architect, software or solutions",United Kingdom of Great Britain and Northern Ireland,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,Employed,1,11.77015348456319
11151,I am a developer by profession,"No, but I plan to soon",128920.0,20.0,25.0,35-44 years old,"Developer, desktop or enterprise applications",United States of America,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,11.766947335929375
11152,I am a developer by profession,"Yes, I use AI tools daily",85851.0,15.0,18.0,35-44 years old,"Developer, full-stack",Germany,100 to 499 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.360368514481427
11157,I am a developer by profession,"No, but I plan to soon",160000.0,11.0,17.0,25-34 years old,"Developer, full-stack",United States of America,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,11.982929094215963
11158,I am a developer by profession,"Yes, I use AI tools daily",100000.0,15.0,15.0,45-54 years old,"Developer, full-stack",United States of America,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.512925464970229
11160,I am a developer by profession,"No, and I don't plan to",98022.0,15.0,20.0,35-44 years old,"Developer, full-stack",United Kingdom of Great Britain and Northern Ireland,20 to 99 employees,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,11.492947222254564
11162,I am a developer by profession,"No, but I plan to soon",171000.0,21.0,28.0,35-44 years old,Other (please specify):,United States of America,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,12.049418835484797
11165,I am a developer by profession,"Yes, I use AI tools daily",100000.0,30.0,31.0,65 years or older,"Developer, desktop or enterprise applications",United States of America,"Just me - I am a freelancer, sole proprietor, etc.",Some college/university study without earning a degree,"Hybrid (some remote, leans heavy to in-person)",Employed,1,11.512925464970229
11167,I am a developer by profession,"Yes, I use AI tools daily",32767.0,5.0,10.0,25-34 years old,"Developer, full-stack",Brazil,"10,000 or more employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,10.397177190355384
11168,I am a developer by profession,"No, but I plan to soon",100000.0,25.0,25.0,45-54 years old,"Developer, back-end",Argentina,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,11.512925464970229
11171,I am a developer by profession,"Yes, I use AI tools daily",170000.0,13.0,20.0,35-44 years old,"Developer, full-stack",United States of America,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,12.043553716032399
11185,I am a developer by profession,"Yes, I use AI tools daily",38120.0,2.0,5.0,25-34 years old,"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,Less than 20 employees,Primary/elementary school,In-person,Employed,1,10.548494357768138
11186,I am a developer by profession,"No, and I don't plan to",104829.0,4.0,14.0,25-34 years old,"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,11.560085730147089
11190,I am a developer by profession,"No, and I don't plan to",66128.0,6.0,11.0,25-34 years old,"Developer, full-stack",Lithuania,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,0,11.099347536751514
11192,I am a developer by profession,"Yes, I use AI tools daily",31111.0,3.0,5.0,18-24 years old,"Developer, full-stack",Poland,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,10.345316733380217
11193,I am a developer by profession,"Yes, I use AI tools daily",120000.0,40.0,30.0,55-64 years old,"Developer, full-stack",United States of America,"1,000 to 4,999 employees",Other (please specify):,"Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.695247021764184
11194,I am a developer by profession,"Yes, I use AI tools daily",74878.0,3.0,7.0,25-34 years old,"Developer, desktop or enterprise applications",United Kingdom of Great Britain and Northern Ireland,"1,000 to 4,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.223615401393062
11195,I am a developer by profession,"Yes, I use AI tools daily",656.0,3.0,3.0,25-34 years old,"Senior executive (C-suite, VP, etc.)",Turkey,"Just me - I am a freelancer, sole proprietor, etc.","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,"Independent contractor, freelancer, or self-employed",1,6.486160788944089
11199,I am a developer by profession,"Yes, I use AI tools daily",72393.0,4.0,5.0,18-24 years old,"Architect, software or solutions",Germany,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.189864888616631
11205,I am a developer by profession,"Yes, I use AI tools daily",387.0,3.0,4.0,25-34 years old,"Developer, full-stack",Kenya,Less than 20 employees,Other (please specify):,Remote,"Independent contractor, freelancer, or self-employed",1,5.958424693029782
11214,I am a developer by profession,"No, and I don't plan to",114000.0,13.0,17.0,35-44 years old,"Developer, desktop or enterprise applications",United States of America,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,0,11.643953727376633
11216,I am a developer by profession,"Yes, I use AI tools daily",200000.0,9.0,13.0,35-44 years old,"Developer, back-end",United States of America,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,12.206072645530174
11217,I am a developer by profession,"Yes, I use AI tools daily",180000.0,20.0,11.0,35-44 years old,DevOps engineer or professional,United States of America,"10,000 or more employees",Some college/university study without earning a degree,Remote,Employed,1,12.100712129872347
11219,I am a developer by profession,"Yes, I use AI tools daily",47658.0,13.0,13.0,35-44 years old,"Architect, software or solutions",India,500 to 999 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,10.771805785861186
11225,I am a developer by profession,"No, and I don't plan to",25071.0,1.0,20.0,18-24 years old,"Developer, full-stack",China,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,Employed,0,10.129467078669546
11228,I am a developer by profession,"No, but I plan to soon",52903.0,35.0,30.0,55-64 years old,"Developer, desktop or enterprise applications",Belgium,"5,000 to 9,999 employees",Some college/university study without earning a degree,"Hybrid (some remote, leans heavy to in-person)",Employed,0,10.876215327013442
11230,I am a developer by profession,"Yes, I use AI tools daily",78065.0,7.0,11.0,25-34 years old,"Developer, back-end",Canada,500 to 999 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.26529709197562
11233,I am a developer by profession,"Yes, I use AI tools daily",98612.0,5.0,10.0,25-34 years old,Cloud infrastructure engineer,Germany,20 to 99 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,Employed,1,11.498948237039368
11235,I am a developer by profession,"Yes, I use AI tools daily",80000.0,14.0,18.0,25-34 years old,"Developer, full-stack",United States of America,20 to 99 employees,"Associate degree (A.A., A.S., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,11.289781913656018
11236,I am a developer by profession,"Yes, I use AI tools daily",127616.0,25.0,20.0,45-54 years old,"Senior executive (C-suite, VP, etc.)",Greece,500 to 999 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",In-person,Employed,1,11.756781033881456
11237,I am a developer by profession,"Yes, I use AI tools daily",147000.0,22.0,25.0,45-54 years old,AI/ML engineer,United States of America,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.898187865760873
11239,I am a developer by profession,"No, and I don't plan to",149756.0,12.0,17.0,25-34 years old,"Developer, back-end",United Kingdom of Great Britain and Northern Ireland,"5,000 to 9,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,0,11.916762581953007
11240,I am a developer by profession,"Yes, I use AI tools daily",45934.0,21.0,30.0,35-44 years old,"Developer, full-stack",Russian Federation,Less than 20 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,10.73496086257636
11242,I am a developer by profession,"No, and I don't plan to",87011.0,9.0,15.0,35-44 years old,"Developer, embedded applications or devices",Germany,"1,000 to 4,999 employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,0,11.373789826425874
11243,I am a developer by profession,"Yes, I use AI tools daily",87011.0,12.0,28.0,35-44 years old,"Developer, desktop or enterprise applications",Greece,20 to 99 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,11.373789826425874
11245,I am a developer by profession,"No, but I plan to soon",95000.0,33.0,40.0,45-54 years old,"Developer, full-stack",United States of America,"1,000 to 4,999 employees","Associate degree (A.A., A.S., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,11.461632170582678
11253,I am a developer by profession,"Yes, I use AI tools daily",78930.0,6.0,7.0,18-24 years old,AI/ML engineer,South Africa,100 to 499 employees,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Remote,Employed,1,11.276316662702449
11260,I am a developer by profession,"No, but I plan to soon",180000.0,44.0,44.0,55-64 years old,Data engineer,United States of America,"10,000 or more employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,0,12.100712129872347
11262,I am a developer by profession,"Yes, I use AI tools daily",90000.0,20.0,20.0,35-44 years old,"Developer, full-stack",United States of America,"Just me - I am a freelancer, sole proprietor, etc.","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"Independent contractor, freelancer, or self-employed",1,11.407564949312402
11265,I am a developer by profession,"Yes, I use AI tools daily",89000.0,14.0,9.0,35-44 years old,"Developer, full-stack",United States of America,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,Employed,1,11.396391648714276
11266,I am a developer by profession,"Yes, I use AI tools daily",49122.0,5.0,14.0,25-34 years old,"Developer, back-end",Poland,20 to 99 employees,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Remote,Employed,1,10.802062278604502
11268,I am a developer by profession,"No, and I don't plan to",139218.0,26.0,34.0,35-44 years old,"Senior executive (C-suite, VP, etc.)",Germany,20 to 99 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,11.843796328867422
11275,I am a developer by profession,"No, and I don't plan to",210252.0,20.0,20.0,35-44 years old,"Architect, software or solutions",Brazil,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,12.256062090275087
11279,I am a developer by profession,"Yes, I use AI tools daily",162421.0,20.0,23.0,45-54 years old,"Architect, software or solutions",Germany,Less than 20 employees,Some college/university study without earning a degree,"Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.99794700869468
11285,I am a developer by profession,"Yes, I use AI tools daily",93000.0,2.0,14.0,25-34 years old,"Developer, embedded applications or devices",United States of America,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,11.440354772135393
11286,I am a developer by profession,"No, and I don't plan to",125000.0,8.0,15.0,25-34 years old,"Developer, full-stack",United States of America,"1,000 to 4,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,11.736069016284437
11291,I am a developer by profession,"No, but I plan to soon",62032.0,19.0,25.0,35-44 years old,"Developer, back-end",Romania,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,11.03540565991071
11296,I am a developer by profession,"Yes, I use AI tools daily",198389.0,11.0,25.0,35-44 years old,"Architect, software or solutions",Switzerland,100 to 499 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,12.197985028747471
11298,I am a developer by profession,"Yes, I use AI tools daily",124800.0,10.0,14.0,25-34 years old,"Developer, full-stack",United States of America,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.734467734917464
11299,I am a developer by profession,"Yes, I use AI tools daily",77962.0,20.0,25.0,45-54 years old,"Developer, full-stack",Portugal,100 to 499 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)","Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,11.263976807474066
11300,I am a developer by profession,"Yes, I use AI tools daily",12786.0,1.0,5.0,18-24 years old,"Developer, full-stack",India,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,Employed,1,9.456106101326672
11307,I am a developer by profession,"Yes, I use AI tools daily",75410.0,23.0,30.0,35-44 years old,"Developer, back-end",Lithuania,Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,"Independent contractor, freelancer, or self-employed",1,11.230695171196693
11314,I am a developer by profession,"Yes, I use AI tools daily",11832.0,3.0,12.0,25-34 years old,"Developer, full-stack",Brazil,100 to 499 employees,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,1,9.378563004390635
11321,I am a developer by profession,"No, but I plan to soon",200000.0,8.0,10.0,25-34 years old,Data engineer,United States of America,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,0,12.206072645530174
11324,I am a developer by profession,"No, and I don't plan to",34804.0,7.0,10.0,25-34 years old,"Developer, full-stack",Germany,Less than 20 employees,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,10.457487601685916
11327,I am a developer by profession,"Yes, I use AI tools daily",118593.0,30.0,15.0,45-54 years old,Student,Norway,"Just me - I am a freelancer, sole proprietor, etc.","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Student,1,11.68345274188147
11328,I am a developer by profession,"No, and I don't plan to",72958.0,15.0,20.0,25-34 years old,"Founder, technology or otherwise",Canada,"Just me - I am a freelancer, sole proprietor, etc.","Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",Remote,"Independent contractor, freelancer, or self-employed",0,11.197639212091788
11331,I am a developer by profession,"Yes, I use AI tools daily",75000.0,1.0,5.0,18-24 years old,"Developer, full-stack",United States of America,"10,000 or more employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.225243392518447
11349,I am a developer by profession,"Yes, I use AI tools daily",50814.0,4.0,10.0,18-24 years old,"Developer, full-stack",Germany,20 to 99 employees,Some college/university study without earning a degree,"Your choice (very flexible, you can come in when you want or just as needed)",Employed,1,10.835927186149654
11352,I am a developer by profession,"Yes, I use AI tools daily",119428.0,30.0,25.0,45-54 years old,"Developer, full-stack",Argentina,500 to 999 employees,"Professional degree (JD, MD, Ph.D, Ed.D, etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,1,11.690468958311083
11354,I am a developer by profession,"Yes, I use AI tools daily",52207.0,3.0,7.0,35-44 years old,"Developer, back-end",Germany,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,Employed,1,10.86297186449704
11357,I am a developer by profession,"Yes, I use AI tools daily",39326.0,3.0,8.0,18-24 years old,"Developer, full-stack",Hungary,100 to 499 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,10.579641156719502
11358,I am a developer by profession,"Yes, I use AI tools daily",95016.0,22.0,36.0,45-54 years old,"Architect, software or solutions",Germany,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some in-person, leans heavy to flexibility)",Employed,1,11.461800577454076
11362,I am a developer by profession,"No, and I don't plan to",94000.0,5.0,10.0,25-34 years old,"Developer, full-stack",United States of America,"5,000 to 9,999 employees","Bachelor’s degree (B.A., B.S., B.Eng., etc.)",In-person,Employed,0,11.451050061252142
11365,I am a developer by profession,"No, and I don't plan to",200000.0,12.0,25.0,25-34 years old,DevOps engineer or professional,United States of America,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,12.206072645530174
11366,I am a developer by profession,"No, and I don't plan to",18349.0,8.0,12.0,25-34 years old,"Developer, front-end",Brazil,20 to 99 employees,Some college/university study without earning a degree,Remote,Employed,0,9.817330356084954
11372,I am a developer by profession,"No, but I plan to soon",200000.0,20.0,32.0,35-44 years old,"Developer, game or graphics",United States of America,500 to 999 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,0,12.206072645530174
11376,I am a developer by profession,"Yes, I use AI tools daily",33700.0,8.0,16.0,25-34 years old,"Developer, full-stack",Czech Republic,Less than 20 employees,Some college/university study without earning a degree,"Hybrid (some in-person, leans heavy to flexibility)",Employed,1,10.425253116340453
11380,I am a developer by profession,"No, and I don't plan to",75147.0,30.0,25.0,55-64 years old,Data or business analyst,Canada,"10,000 or more employees","Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",Remote,Employed,0,11.227201474224609
11381,I am a developer by profession,"Yes, I use AI tools daily",2000.0,5.0,5.0,25-34 years old,"Developer, full-stack","Venezuela, Bolivarian Republic of...",Less than 20 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",Remote,Employed,1,7.600902459542082
11384,I am a developer by profession,"Yes, I use AI tools daily",75000.0,5.0,12.0,18-24 years old,"Developer, full-stack",United States of America,100 to 499 employees,Some college/university study without earning a degree,In-person,Employed,1,11.225243392518447
11385,I am a developer by profession,"No, and I don't plan to",81761.0,19.0,35.0,45-54 years old,"Developer, back-end",Sweden,500 to 999 employees,Some college/university study without earning a degree,"Hybrid (some remote, leans heavy to in-person)",Employed,0,11.311555636282499
11389,I am a developer by profession,"No, and I don't plan to",24029.0,9.0,9.0,25-34 years old,Database administrator or engineer,Brazil,20 to 99 employees,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)","Hybrid (some remote, leans heavy to in-person)",Employed,0,10.087016713216245
11390,I am a developer by profession,"Yes, I use AI tools daily",2398.0,1.0,5.0,18-24 years old,"Developer, full-stack",Sri Lanka,Less than 20 employees,Some college/university study without earning a degree,Remote,Employed,1,7.7823903355874595
